"FL_DATE","AIRLINE_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CANCELLATION_CODE","DIVERTED","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-05-01,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0557",0.00,0.00,"0702",0.00,0.00,0.00,"",0.00,47.00,1.00,300.00,,,,,,
2017-05-01,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1358",7.00,0.00,"1518",14.00,0.00,0.00,"",0.00,54.00,1.00,300.00,,,,,,
2017-05-01,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1548",8.00,0.00,"1703",4.00,0.00,0.00,"",0.00,54.00,1.00,300.00,,,,,,
2017-05-01,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","0810",0.00,0.00,"0926",1.00,0.00,0.00,"",0.00,56.00,1.00,300.00,,,,,,
2017-05-01,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0948",0.00,0.00,"1106",0.00,0.00,0.00,"",0.00,52.00,1.00,300.00,,,,,,
2017-05-01,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1052",0.00,0.00,"1224",9.00,0.00,0.00,"",0.00,55.00,1.00,300.00,,,,,,
2017-05-01,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1252",12.00,0.00,"1408",11.00,0.00,0.00,"",0.00,58.00,1.00,300.00,,,,,,
2017-05-01,19790,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","2015",25.00,1.00,"2122",19.00,1.00,0.00,"",0.00,48.00,1.00,300.00,6.00,0.00,0.00,0.00,13.00,
2017-05-01,19790,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0724",0.00,0.00,"0844",0.00,0.00,0.00,"",0.00,49.00,1.00,300.00,,,,,,
2017-05-02,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1419",28.00,1.00,"1521",17.00,1.00,0.00,"",0.00,46.00,1.00,300.00,17.00,0.00,0.00,0.00,0.00,
2017-05-02,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1550",10.00,0.00,"1709",10.00,0.00,0.00,"",0.00,49.00,1.00,300.00,,,,,,
2017-05-02,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","0806",0.00,0.00,"0909",0.00,0.00,0.00,"",0.00,48.00,1.00,300.00,,,,,,
2017-05-02,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0938",0.00,0.00,"1051",0.00,0.00,0.00,"",0.00,53.00,1.00,300.00,,,,,,
2017-05-02,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1056",0.00,0.00,"1208",0.00,0.00,0.00,"",0.00,50.00,1.00,300.00,,,,,,
2017-05-02,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1239",0.00,0.00,"1345",0.00,0.00,0.00,"",0.00,49.00,1.00,300.00,,,,,,
2017-05-02,19790,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1945",0.00,0.00,"2048",0.00,0.00,0.00,"",0.00,47.00,1.00,300.00,,,,,,
2017-05-02,19790,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0727",0.00,0.00,"0840",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-03,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1518",87.00,1.00,"1641",97.00,1.00,0.00,"",0.00,48.00,1.00,300.00,87.00,0.00,10.00,0.00,0.00,
2017-05-03,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1713",93.00,1.00,"1821",82.00,1.00,0.00,"",0.00,50.00,1.00,300.00,0.00,0.00,0.00,0.00,82.00,
2017-05-03,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","0806",0.00,0.00,"0913",0.00,0.00,0.00,"",0.00,50.00,1.00,300.00,,,,,,
2017-05-03,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0943",0.00,0.00,"1057",0.00,0.00,0.00,"",0.00,52.00,1.00,300.00,,,,,,
2017-05-03,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1053",0.00,0.00,"1200",0.00,0.00,0.00,"",0.00,45.00,1.00,300.00,,,,,,
2017-05-03,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1235",0.00,0.00,"1348",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-03,19790,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1947",0.00,0.00,"2048",0.00,0.00,0.00,"",0.00,44.00,1.00,300.00,,,,,,
2017-05-03,19790,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0731",0.00,0.00,"0857",8.00,0.00,0.00,"",0.00,50.00,1.00,300.00,,,,,,
2017-05-04,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1443",52.00,1.00,"1545",41.00,1.00,0.00,"",0.00,48.00,1.00,300.00,40.00,0.00,0.00,0.00,1.00,
2017-05-04,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1612",32.00,1.00,"1732",33.00,1.00,0.00,"",0.00,54.00,1.00,300.00,0.00,0.00,1.00,0.00,32.00,
2017-05-04,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1058",0.00,0.00,"1210",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-04,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1449",129.00,1.00,"1613",136.00,1.00,0.00,"",0.00,59.00,1.00,300.00,129.00,0.00,7.00,0.00,0.00,
2017-05-04,19790,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1948",0.00,0.00,"2057",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-04,19790,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0730",0.00,0.00,"0851",2.00,0.00,0.00,"",0.00,53.00,1.00,300.00,,,,,,
2017-05-05,19790,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1956",6.00,0.00,"2108",5.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-05,19790,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0731",0.00,0.00,"0907",18.00,1.00,0.00,"",0.00,51.00,1.00,300.00,0.00,0.00,18.00,0.00,0.00,
2017-05-05,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1405",14.00,0.00,"1533",29.00,1.00,0.00,"",0.00,56.00,1.00,300.00,14.00,0.00,15.00,0.00,0.00,
2017-05-05,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1559",19.00,1.00,"1723",24.00,1.00,0.00,"",0.00,50.00,1.00,300.00,0.00,0.00,5.00,0.00,19.00,
2017-05-05,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","0810",0.00,0.00,"0920",0.00,0.00,0.00,"",0.00,54.00,1.00,300.00,,,,,,
2017-05-05,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","0943",0.00,0.00,"1108",1.00,0.00,0.00,"",0.00,50.00,1.00,300.00,,,,,,
2017-05-05,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1054",0.00,0.00,"1217",2.00,0.00,0.00,"",0.00,52.00,1.00,300.00,,,,,,
2017-05-05,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1241",1.00,0.00,"1357",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
2017-05-06,20366,"ATL","Atlanta, GA","GA","GNV","Gainesville, FL","FL","1037",17.00,1.00,"1155",19.00,1.00,0.00,"",0.00,51.00,1.00,300.00,17.00,0.00,2.00,0.00,0.00,
2017-05-06,20366,"GNV","Gainesville, FL","FL","ATL","Atlanta, GA","GA","1220",5.00,0.00,"1329",0.00,0.00,0.00,"",0.00,51.00,1.00,300.00,,,,,,
